date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:46:04	790063/790063	---MCZ	200	added ('OK')	text/html	etag:W/%221eac084fc4ebbf5fde4075cd6b105e30%22	https://www.mrmacmaths.com/functions	C:/Users/vihaa/Downloads/maths%20note%20web%201/www.mrmacmaths.com/functions.html	(from https://www.mrmacmaths.com/)
17:46:06	788011/788011	---MCZ	200	added ('OK')	text/html	etag:W/%227c2e2c19c806b1426b93287715366a6b%22	https://www.mrmacmaths.com/trigononmetry	C:/Users/vihaa/Downloads/maths%20note%20web%201/www.mrmacmaths.com/trigononmetry.html	(from https://www.mrmacmaths.com/)
17:46:07	659507/659507	---MCZ	200	added ('OK')	text/html	etag:W/%2279d4701ed0b7bcd88048d91cc4937734%22	https://www.mrmacmaths.com/statistics	C:/Users/vihaa/Downloads/maths%20note%20web%201/www.mrmacmaths.com/statistics.html	(from https://www.mrmacmaths.com/)
17:46:08	790465/790465	---MCZ	200	added ('OK')	text/html	etag:W/%2286dc448adb5b1849e2006879fcc35d02%22	https://www.mrmacmaths.com/calculus	C:/Users/vihaa/Downloads/maths%20note%20web%201/www.mrmacmaths.com/calculus.html	(from https://www.mrmacmaths.com/)
17:46:10	668321/668321	---MCZ	200	added ('OK')	text/html	etag:W/%22c625464ff31b215c3c63d5e338088370%22	https://www.mrmacmaths.com/a-i-algebra	C:/Users/vihaa/Downloads/maths%20note%20web%201/www.mrmacmaths.com/a-i-algebra.html	(from https://www.mrmacmaths.com/)
17:46:10	645222/645222	---MCZ	200	added ('OK')	text/html	etag:W/%22c85b5e752eb81cc6c390b96b2c2765f7%22	https://www.mrmacmaths.com/a-i-functions	C:/Users/vihaa/Downloads/maths%20note%20web%201/www.mrmacmaths.com/a-i-functions.html	(from https://www.mrmacmaths.com/)
17:46:11	664092/664092	---MCZ	200	added ('OK')	text/html	etag:W/%223461a8a25f381ca05a11d1ef112af6d7%22	https://www.mrmacmaths.com/a-i-trig-geom	C:/Users/vihaa/Downloads/maths%20note%20web%201/www.mrmacmaths.com/a-i-trig-geom.html	(from https://www.mrmacmaths.com/)
17:46:13	704514/704514	---MCZ	200	added ('OK')	text/html	etag:W/%22f1a7aa54683bef954061410205af970c%22	https://www.mrmacmaths.com/a-i-statistics	C:/Users/vihaa/Downloads/maths%20note%20web%201/www.mrmacmaths.com/a-i-statistics.html	(from https://www.mrmacmaths.com/)
17:46:14	711426/711426	---MCZ	200	added ('OK')	text/html	etag:W/%22159bbe2d6e4c47f3119a5b5c0369080f%22	https://www.mrmacmaths.com/a-i-calculus	C:/Users/vihaa/Downloads/maths%20note%20web%201/www.mrmacmaths.com/a-i-calculus.html	(from https://www.mrmacmaths.com/)
17:46:15	540624/540624	---MCZ	200	added ('OK')	text/html	etag:W/%222dfff32a33bfb48b69f99cbc2f48fbe0%22	https://www.mrmacmaths.com/videos	C:/Users/vihaa/Downloads/maths%20note%20web%201/www.mrmacmaths.com/videos.html	(from https://www.mrmacmaths.com/)
17:46:15	25056/25056	---M-Z	200	added ('OK')	application/javascript	etag:W/%223d17b20ce8510b888d6ea219427d8d96%22	https://static.parastorage.com/services/wix-thunderbolt/dist/8875.e26292eb.bundle.min.js	C:/Users/vihaa/Downloads/maths%20note%20web%201/static.parastorage.com/services/wix-thunderbolt/dist/8875.e26292eb.bundle.min.js	(from https://www.mrmacmaths.com/)
17:46:15	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/vihaa/Downloads/maths%20note%20web%201/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.mrmacmaths.com/)
17:46:16	532/532	---MCZ	200	added ('OK')	text/plain	etag:W/%22214-H1+/p2PMQkuo+r5SlNWSnHtTWyg%22	https://www.mrmacmaths.com/robots.txt	C:/Users/vihaa/Downloads/maths%20note%20web%201/www.mrmacmaths.com/robots.txt	(from https://www.mrmacmaths.com/)
17:46:17	520/520	---MCZ	200	added ('OK')	text/xml	etag:W/%22208-RCgRihUpXMUKapWgWlR1YcqYyFM%22	https://www.mrmacmaths.com/sitemap.xml	C:/Users/vihaa/Downloads/maths%20note%20web%201/www.mrmacmaths.com/sitemap.xml	(from https://www.mrmacmaths.com/)
17:46:17	2960/2960	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2016:46:16%20GMT	https://www.mrmacmaths.com/feed.xml	C:/Users/vihaa/Downloads/maths%20note%20web%201/www.mrmacmaths.com/feed.1c.delayed	(from https://www.mrmacmaths.com/)
17:46:18	134527/134527	---M-Z	200	added ('OK')	application/javascript	etag:W/%22174b61be019511c4a82f5ec7b2b897c9%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.b7a35b00.bundle.min.js	C:/Users/vihaa/Downloads/maths%20note%20web%201/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.b7a35b00.bundle.min.js	(from https://www.mrmacmaths.com/)
17:46:18	257465/257465	---M-Z	200	added ('OK')	application/javascript	etag:W/%2289f0fb21684c358ad2a69a44308e8a31%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.d98de0fd.bundle.min.js	C:/Users/vihaa/Downloads/maths%20note%20web%201/static.parastorage.com/services/wix-thunderbolt/dist/main.d98de0fd.bundle.min.js	(from https://www.mrmacmaths.com/)
17:46:18	166/166	---M--	200	added ('OK')	application/javascript	etag:%227276034de396f62e15b7cc118d61c360%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	C:/Users/vihaa/Downloads/maths%20note%20web%201/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	(from https://www.mrmacmaths.com/)
17:46:19	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/Users/vihaa/Downloads/maths%20note%20web%201/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.mrmacmaths.com/)
17:46:19	10751/10751	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e91b2616629791b375867c298dc846cc%22	https://static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	C:/Users/vihaa/Downloads/maths%20note%20web%201/static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	(from https://www.mrmacmaths.com/)
17:46:20	131835/131835	---M-Z	200	added ('OK')	application/javascript	etag:W/%227d4842a904e5d5d1b19240075998b111%22	https://static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	C:/Users/vihaa/Downloads/maths%20note%20web%201/static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	(from https://www.mrmacmaths.com/)
17:46:20	6088/6088	---M-Z	200	added ('OK')	application/javascript	etag:W/%220022d406fbbd37299590c9dfcb9e8438%22	https://static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	C:/Users/vihaa/Downloads/maths%20note%20web%201/static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	(from https://www.mrmacmaths.com/)
17:46:21	2961/2961	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2016:46:20%20GMT	https://www.mrmacmaths.com/decodeURIComponent(e	C:/Users/vihaa/Downloads/maths%20note%20web%201/www.mrmacmaths.com/decodeURIComponent(e.24.delayed	(from https://www.mrmacmaths.com/)
17:46:23	9800/9800	---M-Z	200	added ('OK')	application/javascript	etag:W/%227f6a360bf47f00b1714dc34cc20ec4bd%22	https://static.parastorage.com/services/tag-manager-client/1.875.0/siteTags.bundle.min.js	C:/Users/vihaa/Downloads/maths%20note%20web%201/static.parastorage.com/services/tag-manager-client/1.875.0/siteTags.bundle.min.js	(from https://www.mrmacmaths.com/)
17:46:27	142402/142402	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Dec%202024%2016:46:25%20GMT	https://static.wixstatic.com/media/6742e0_6c3cbe8467e74df38c1d9627dc6f0e71~mv2.jpg/v1/fill/w_740,h_1060,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/pg1%20A%26A%20HL%20-%20Topic%201%20-%20Algebra%20Notes.jpg	C:/Users/vihaa/Downloads/maths%20note%20web%201/static.wixstatic.com/media/6742e0_6c3cbe8467e74df38c1d9627dc6f0e71_mv2.jpg/v1/fill/w_740,h_1060,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/pg1%20A&A%20HL%20-%20Topic%201%20-%20Algebra%20Notes.jpg	(from https://www.mrmacmaths.com/algebra)
17:46:27	3813/3813	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Dec%202024%2016:46:26%20GMT	https://static.wixstatic.com/media/6742e0_3e14476f306f4cfea26d9fce78d069b6~mv2.jpg/v1/fill/w_133,h_188,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/pg2%20A%26A%20HL%20-%20Topic%201%20-%20Algebra%20Notes.jpg	C:/Users/vihaa/Downloads/maths%20note%20web%201/static.wixstatic.com/media/6742e0_3e14476f306f4cfea26d9fce78d069b6_mv2.jpg/v1/fill/w_133,h_188,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/pg2%20A&A%20HL%20-%20Topic%201%20-%20Algebra%20Notes.jpg	(from https://www.mrmacmaths.com/algebra)
